seed,layer,r2,cos,gain_vs_identity,mean_delta_norm_pred,mean_delta_norm_true,mean_spread_delta_pred,mean_spread_delta_true,std_spread_delta_true
3,12,0.5999929904937744,0.9942091107368469,0.06896418333053589,0.14905676245689392,0.13761547207832336,-0.004179107956588268,-0.0038299865555018187,0.027186473831534386
3,13,0.652315616607666,0.9948989152908325,0.00596308708190918,0.1443842649459839,0.12176584452390671,-0.002662819344550371,0.0017542450223118067,0.018231842666864395
3,14,0.6409357786178589,0.9947100281715393,-0.024124741554260254,0.13900555670261383,0.11779855936765671,-0.0030668426770716906,-0.0012017294066026807,0.021040430292487144
3,15,0.6545310020446777,0.9949820637702942,-0.025707483291625977,0.14139382541179657,0.11550941318273544,-0.0006215754547156394,0.0011048924643546343,0.015334407798945904
3,16,0.6651211380958557,0.9952412247657776,0.0395854115486145,0.1455555558204651,0.12294918298721313,0.0006166830426082015,0.001298426417633891,0.02044045552611351
3,17,0.6696299314498901,0.9952760934829712,0.037711501121520996,0.14332322776317596,0.12250225991010666,0.0010628554737195373,0.0006212470470927656,0.020651156082749367
3,18,0.6855663061141968,0.9954563975334167,0.12384927272796631,0.14933061599731445,0.1341283768415451,0.001313918735831976,0.002473598811775446,0.02347622998058796
3,19,0.6876941919326782,0.9956000447273254,0.13974177837371826,0.15096770226955414,0.13486364483833313,-0.00222780997864902,-0.0013374309055507183,0.01976035349071026
3,20,0.7223867177963257,0.9961198568344116,0.20736873149871826,0.15055310726165771,0.13841402530670166,-0.002782823983579874,-0.0033867540769279003,0.022413091734051704
3,21,0.7681036591529846,0.9963415265083313,0.14281058311462402,0.14223724603652954,0.1274024099111557,0.0018771436298266053,0.001842942787334323,0.03083750233054161
3,22,0.7903797626495361,0.9965309500694275,0.06950855255126953,0.13399963080883026,0.11527086049318314,0.0001283458259422332,0.0006026735063642263,0.015219475142657757
3,23,0.7921032309532166,0.9964570999145508,0.022261857986450195,0.12662376463413239,0.1067088171839714,0.002818406792357564,0.0024395280051976442,0.011082270182669163
3,24,0.7924996614456177,0.9964691400527954,0.05164909362792969,0.13140517473220825,0.11250440776348114,0.0031364646274596453,0.0006439186981879175,0.01653790846467018
3,25,0.7848460078239441,0.9963425397872925,-0.01535189151763916,0.123825803399086,0.0990385115146637,-0.0007573438924737275,0.001139172469265759,0.01419067569077015
3,26,0.7176605463027954,0.9958223104476929,0.31794118881225586,0.1622646152973175,0.14733164012432098,-0.003599595045670867,-0.0014813457382842898,0.050719428807497025
