shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,model,state_type,init_seed
9.0,0.0512612946331501,0.5555555555555555,7.018185138702393,0.8299576640129089,8.460357666015625,2.0119760036468506,qwen,random_initialization,1701
10.0,0.05463569238781929,0.5555555555555555,7.204540252685547,0.8299576640129089,8.684977531433105,1.9985395669937134,qwen,random_initialization,1701
11.0,0.04656261205673218,0.5185185185185184,9.271803855895996,0.8299576640129089,11.176944732666016,2.1543545722961426,qwen,random_initialization,1701
12.0,0.04997288063168526,0.5555555555555555,8.544227600097656,0.8299576640129089,10.29967975616455,2.1605465412139893,qwen,random_initialization,1701
13.0,0.03330186381936073,0.48148148148148157,7.586007595062256,0.8299576640129089,9.144753456115723,1.9319173097610474,qwen,random_initialization,1701
14.0,0.04029862955212593,0.5185185185185184,7.84124755859375,0.8299576640129089,9.452553749084473,2.154963254928589,qwen,random_initialization,1701
15.0,0.020295778289437294,0.4444444444444446,9.936662673950195,0.8299576640129089,11.978195190429688,2.121122360229492,qwen,random_initialization,1701
16.0,0.054708387702703476,0.5555555555555555,8.322014808654785,0.8299576640129089,10.031795501708984,1.9496771097183228,qwen,random_initialization,1701
17.0,0.057566240429878235,0.5925925925925926,10.450966835021973,0.8299576640129089,12.5983304977417,2.2729098796844482,qwen,random_initialization,1701
18.0,0.025610284879803658,0.4444444444444446,6.677574157714844,0.8299576640129089,8.049785614013672,1.9671329259872437,qwen,random_initialization,1701
19.0,0.059821516275405884,0.5925925925925926,8.079578399658203,0.8299576640129089,9.740134239196777,1.9606056213378906,qwen,random_initialization,1701
20.0,0.05384449288249016,0.5555555555555555,9.702567100524902,0.8299576640129089,11.696304321289062,2.35210919380188,qwen,random_initialization,1701
