task,gamma,metric,null_index,value
relation_graph,0.0,leave_one_out_alignment,153,-0.2609289586544037
relation_graph,0.0,leave_one_out_alignment,154,-0.26023179292678833
relation_graph,0.0,leave_one_out_alignment,155,-0.26262664794921875
relation_graph,0.0,leave_one_out_alignment,156,-0.26056239008903503
relation_graph,0.0,leave_one_out_alignment,157,-0.26099908351898193
relation_graph,0.0,leave_one_out_alignment,158,-0.2607896327972412
relation_graph,0.0,leave_one_out_alignment,159,-0.2609960436820984
relation_graph,0.0,leave_one_out_alignment,160,-0.2622213661670685
relation_graph,0.0,leave_one_out_alignment,161,-0.263187974691391
relation_graph,0.0,leave_one_out_alignment,162,-0.2610521912574768
relation_graph,0.0,leave_one_out_alignment,163,-0.2625400424003601
relation_graph,0.0,leave_one_out_alignment,164,-0.26192140579223633
relation_graph,0.0,leave_one_out_alignment,165,-0.25939223170280457
relation_graph,0.0,leave_one_out_alignment,166,-0.26052942872047424
relation_graph,0.0,leave_one_out_alignment,167,-0.26082852482795715
relation_graph,0.0,leave_one_out_alignment,168,-0.259370893239975
relation_graph,0.0,leave_one_out_alignment,169,-0.2616870403289795
relation_graph,0.0,leave_one_out_alignment,170,-0.26193782687187195
relation_graph,0.0,leave_one_out_alignment,171,-0.263355553150177
relation_graph,0.0,leave_one_out_alignment,172,-0.2593024969100952
relation_graph,0.0,leave_one_out_alignment,173,-0.2601454555988312
relation_graph,0.0,leave_one_out_alignment,174,-0.2620786726474762
relation_graph,0.0,leave_one_out_alignment,175,-0.2623760402202606
relation_graph,0.0,leave_one_out_alignment,176,-0.2619945704936981
relation_graph,0.0,leave_one_out_alignment,177,-0.26175057888031006
relation_graph,0.0,leave_one_out_alignment,178,-0.2627505362033844
relation_graph,0.0,leave_one_out_alignment,179,-0.26270607113838196
relation_graph,0.0,leave_one_out_alignment,180,-0.26157480478286743
relation_graph,0.0,leave_one_out_alignment,181,-0.2611865997314453
relation_graph,0.0,leave_one_out_alignment,182,-0.26209115982055664
relation_graph,0.0,leave_one_out_alignment,183,-0.26183831691741943
relation_graph,0.0,leave_one_out_alignment,184,-0.26064205169677734
relation_graph,0.0,leave_one_out_alignment,185,-0.26142993569374084
relation_graph,0.0,leave_one_out_alignment,186,-0.25998127460479736
relation_graph,0.0,leave_one_out_alignment,187,-0.26117143034935
relation_graph,0.0,leave_one_out_alignment,188,-0.2626684606075287
relation_graph,0.0,leave_one_out_alignment,189,-0.2624204158782959
relation_graph,0.0,leave_one_out_alignment,190,-0.26104384660720825
relation_graph,0.0,leave_one_out_alignment,191,-0.26236218214035034
relation_graph,0.0,leave_one_out_alignment,192,-0.26247909665107727
relation_graph,0.0,leave_one_out_alignment,193,-0.2622825801372528
relation_graph,0.0,leave_one_out_alignment,194,-0.261583149433136
relation_graph,0.0,leave_one_out_alignment,195,-0.2615414261817932
relation_graph,0.0,leave_one_out_alignment,196,-0.26400694251060486
relation_graph,0.0,leave_one_out_alignment,197,-0.25982174277305603
relation_graph,0.0,leave_one_out_alignment,198,-0.26231032609939575
relation_graph,0.25,future_alignment,0,-0.1488543003797531
relation_graph,0.25,future_alignment,1,-0.14978833496570587
relation_graph,0.25,future_alignment,2,-0.14862631261348724
relation_graph,0.25,future_alignment,3,-0.14912503957748413
relation_graph,0.25,future_alignment,4,-0.14933957159519196
relation_graph,0.25,future_alignment,5,-0.14862880110740662
relation_graph,0.25,future_alignment,6,-0.14937733113765717
relation_graph,0.25,future_alignment,7,-0.14840282499790192
relation_graph,0.25,future_alignment,8,-0.1487267166376114
relation_graph,0.25,future_alignment,9,-0.14898395538330078
relation_graph,0.25,future_alignment,10,-0.14912769198417664
relation_graph,0.25,future_alignment,11,-0.14890874922275543
relation_graph,0.25,future_alignment,12,-0.14936786890029907
relation_graph,0.25,future_alignment,13,-0.14850957691669464
relation_graph,0.25,future_alignment,14,-0.14858371019363403
relation_graph,0.25,future_alignment,15,-0.14870868623256683
relation_graph,0.25,future_alignment,16,-0.14979790151119232
relation_graph,0.25,future_alignment,17,-0.1493247151374817
relation_graph,0.25,future_alignment,18,-0.14900869131088257
relation_graph,0.25,future_alignment,19,-0.1493571549654007
relation_graph,0.25,future_alignment,20,-0.1494808793067932
relation_graph,0.25,future_alignment,21,-0.14897817373275757
relation_graph,0.25,future_alignment,22,-0.14924940466880798
relation_graph,0.25,future_alignment,23,-0.1488116830587387
relation_graph,0.25,future_alignment,24,-0.1495256870985031
relation_graph,0.25,future_alignment,25,-0.1498154252767563
relation_graph,0.25,future_alignment,26,-0.1490878164768219
relation_graph,0.25,future_alignment,27,-0.14912882447242737
relation_graph,0.25,future_alignment,28,-0.14940433204174042
relation_graph,0.25,future_alignment,29,-0.14926323294639587
relation_graph,0.25,future_alignment,30,-0.14911989867687225
relation_graph,0.25,future_alignment,31,-0.14875738322734833
relation_graph,0.25,future_alignment,32,-0.14864879846572876
relation_graph,0.25,future_alignment,33,-0.14858335256576538
relation_graph,0.25,future_alignment,34,-0.14985506236553192
relation_graph,0.25,future_alignment,35,-0.14858852326869965
relation_graph,0.25,future_alignment,36,-0.1481793224811554
relation_graph,0.25,future_alignment,37,-0.14897707104682922
relation_graph,0.25,future_alignment,38,-0.14971475303173065
relation_graph,0.25,future_alignment,39,-0.14906761050224304
relation_graph,0.25,future_alignment,40,-0.14891329407691956
relation_graph,0.25,future_alignment,41,-0.1492217630147934
relation_graph,0.25,future_alignment,42,-0.14898203313350677
relation_graph,0.25,future_alignment,43,-0.14911028742790222
relation_graph,0.25,future_alignment,44,-0.15008635818958282
relation_graph,0.25,future_alignment,45,-0.14971129596233368
relation_graph,0.25,future_alignment,46,-0.1487935185432434
relation_graph,0.25,future_alignment,47,-0.14877796173095703
relation_graph,0.25,future_alignment,48,-0.1498475968837738
relation_graph,0.25,future_alignment,49,-0.1492583304643631
relation_graph,0.25,future_alignment,50,-0.14877939224243164
relation_graph,0.25,future_alignment,51,-0.14947015047073364
relation_graph,0.25,future_alignment,52,-0.1492578089237213
relation_graph,0.25,future_alignment,53,-0.1493043452501297
relation_graph,0.25,future_alignment,54,-0.14906653761863708
relation_graph,0.25,future_alignment,55,-0.14824390411376953
relation_graph,0.25,future_alignment,56,-0.14825643599033356
relation_graph,0.25,future_alignment,57,-0.1501535326242447
relation_graph,0.25,future_alignment,58,-0.1490265130996704
relation_graph,0.25,future_alignment,59,-0.14892245829105377
relation_graph,0.25,future_alignment,60,-0.14861814677715302
relation_graph,0.25,future_alignment,61,-0.14959008991718292
