"model","mechanism","layer_from","layer_to","depth_mid","cosine_step_mean","cosine_step_sem","participation_fraction_mean","participation_fraction_sem","n_prompts","hidden_dim","tile_width"
"Llama","Competition",14,15,0.966666666666667,0.627857011892552,0.00575617888455152,0.015681577859493,0.000323167155114329,32,2048,0.0653333333333333
"Llama","Closure",0,1,0.0333333333333333,0.25434593448368,0.000688677990881067,0.213736036430449,0.000499413914591641,24,2048,0.0653333333333333
"Llama","Closure",1,2,0.1,0.317050511301008,0.000826870246447945,0.211297532638633,0.0023325683955475,24,2048,0.0653333333333333
"Llama","Closure",2,3,0.166666666666667,0.378980243649626,0.00305249628635795,0.271590640750263,0.00170051398346103,24,2048,0.0653333333333333
"Llama","Closure",3,4,0.233333333333333,0.391132748725632,0.00147893966105707,0.293713206011153,0.000846647304683165,24,2048,0.0653333333333333
"Llama","Closure",4,5,0.3,0.349083408329774,0.00066853802716313,0.277849236573992,0.00227971811843328,24,2048,0.0653333333333333
"Llama","Closure",5,6,0.366666666666667,0.313922034171987,0.00116829998374207,0.324047524522972,0.000745967699572016,24,2048,0.0653333333333333
"Llama","Closure",6,7,0.433333333333333,0.315842944301556,0.000588035986382733,0.301842898886075,0.00125293091691892,24,2048,0.0653333333333333
"Llama","Closure",7,8,0.5,0.324924265909188,0.000807200791806811,0.228828653901619,0.00513036506756344,24,2048,0.0653333333333333
"Llama","Closure",8,9,0.566666666666667,0.311945638300529,0.0013926506456058,0.201224576599208,0.00564656033954621,24,2048,0.0653333333333333
"Llama","Closure",9,10,0.633333333333333,0.235038786491622,0.00208220389760593,0.32653254368135,0.000636515874182722,24,2048,0.0653333333333333
"Llama","Closure",10,11,0.7,0.144956051523547,0.00141853706599012,0.1413255981209,0.00619960404926826,24,2048,0.0653333333333333
"Llama","Closure",11,12,0.766666666666667,0.0838738662818891,0.000982590124463986,0.0877809077119184,0.0044510758351858,24,2048,0.0653333333333333
"Llama","Closure",12,13,0.833333333333333,0.0802690735722784,0.000755789739434425,0.0584067693915078,0.00397636448918065,24,2048,0.0653333333333333
"Llama","Closure",13,14,0.9,0.205899539802627,0.00217808826357202,0.0137613205925082,0.000392262796704749,24,2048,0.0653333333333333
"Llama","Closure",14,15,0.966666666666667,0.667691326018507,0.00432468530372192,0.0150069841234552,0.000221446333979581,24,2048,0.0653333333333333
"Gemma","Stable",0,1,0.02,0.283990282556991,0.00350005423016028,0.002184720470781,1.74409858939973e-05,40,2304,0.0392
"Gemma","Stable",1,2,0.06,0.340790024008641,0.00228576618232857,0.00172733693825851,3.27166785575897e-05,40,2304,0.0392
