"element","x","y"
"retained layer-state dimensions",0.257647058823529,0.476969696969697
"retained layer-state dimensions",0.296470588235294,0.476969696969697
"retained layer-state dimensions",0.335294117647059,0.476969696969697
"retained layer-state dimensions",0.374117647058823,0.476969696969697
"retained layer-state dimensions",0.412941176470588,0.476969696969697
"retained layer-state dimensions",0.451764705882353,0.476969696969697
"retained layer-state dimensions",0.490588235294118,0.476969696969697
"retained layer-state dimensions",0.529411764705882,0.476969696969697
"retained layer-state dimensions",0.568235294117647,0.476969696969697
"retained layer-state dimensions",0.607058823529412,0.476969696969697
"retained layer-state dimensions",0.645882352941176,0.476969696969697
"retained layer-state dimensions",0.684705882352941,0.476969696969697
"retained layer-state dimensions",0.723529411764706,0.476969696969697
"retained layer-state dimensions",0.76235294117647,0.476969696969697
"retained layer-state dimensions",0.801176470588235,0.476969696969697
"retained layer-state dimensions",0.84,0.476969696969697
"retained layer-state dimensions",0.18,0.492121212121212
"retained layer-state dimensions",0.218823529411765,0.492121212121212
"retained layer-state dimensions",0.257647058823529,0.492121212121212
"retained layer-state dimensions",0.296470588235294,0.492121212121212
"retained layer-state dimensions",0.335294117647059,0.492121212121212
"retained layer-state dimensions",0.374117647058823,0.492121212121212
"retained layer-state dimensions",0.412941176470588,0.492121212121212
"retained layer-state dimensions",0.451764705882353,0.492121212121212
"retained layer-state dimensions",0.490588235294118,0.492121212121212
"retained layer-state dimensions",0.529411764705882,0.492121212121212
"retained layer-state dimensions",0.568235294117647,0.492121212121212
"retained layer-state dimensions",0.607058823529412,0.492121212121212
"retained layer-state dimensions",0.645882352941176,0.492121212121212
"retained layer-state dimensions",0.684705882352941,0.492121212121212
"retained layer-state dimensions",0.723529411764706,0.492121212121212
"retained layer-state dimensions",0.76235294117647,0.492121212121212
"retained layer-state dimensions",0.801176470588235,0.492121212121212
"retained layer-state dimensions",0.84,0.492121212121212
"retained layer-state dimensions",0.18,0.507272727272727
"retained layer-state dimensions",0.218823529411765,0.507272727272727
"retained layer-state dimensions",0.257647058823529,0.507272727272727
"retained layer-state dimensions",0.296470588235294,0.507272727272727
"retained layer-state dimensions",0.335294117647059,0.507272727272727
"retained layer-state dimensions",0.374117647058823,0.507272727272727
"retained layer-state dimensions",0.412941176470588,0.507272727272727
"retained layer-state dimensions",0.451764705882353,0.507272727272727
"retained layer-state dimensions",0.490588235294118,0.507272727272727
"retained layer-state dimensions",0.529411764705882,0.507272727272727
"retained layer-state dimensions",0.568235294117647,0.507272727272727
"retained layer-state dimensions",0.607058823529412,0.507272727272727
"retained layer-state dimensions",0.645882352941176,0.507272727272727
"retained layer-state dimensions",0.684705882352941,0.507272727272727
"retained layer-state dimensions",0.723529411764706,0.507272727272727
"retained layer-state dimensions",0.76235294117647,0.507272727272727
"retained layer-state dimensions",0.801176470588235,0.507272727272727
"retained layer-state dimensions",0.84,0.507272727272727
"retained layer-state dimensions",0.18,0.522424242424242
"retained layer-state dimensions",0.218823529411765,0.522424242424242
"retained layer-state dimensions",0.257647058823529,0.522424242424242
"retained layer-state dimensions",0.296470588235294,0.522424242424242
"retained layer-state dimensions",0.335294117647059,0.522424242424242
"retained layer-state dimensions",0.374117647058823,0.522424242424242
"retained layer-state dimensions",0.412941176470588,0.522424242424242
"retained layer-state dimensions",0.451764705882353,0.522424242424242
"retained layer-state dimensions",0.490588235294118,0.522424242424242
"retained layer-state dimensions",0.529411764705882,0.522424242424242
"retained layer-state dimensions",0.568235294117647,0.522424242424242
"retained layer-state dimensions",0.607058823529412,0.522424242424242
"retained layer-state dimensions",0.645882352941176,0.522424242424242
"retained layer-state dimensions",0.684705882352941,0.522424242424242
"retained layer-state dimensions",0.723529411764706,0.522424242424242
"retained layer-state dimensions",0.76235294117647,0.522424242424242
"retained layer-state dimensions",0.801176470588235,0.522424242424242
"retained layer-state dimensions",0.84,0.522424242424242
"retained layer-state dimensions",0.18,0.537575757575758
"retained layer-state dimensions",0.218823529411765,0.537575757575758
"retained layer-state dimensions",0.257647058823529,0.537575757575758
"retained layer-state dimensions",0.296470588235294,0.537575757575758
"retained layer-state dimensions",0.335294117647059,0.537575757575758
"retained layer-state dimensions",0.374117647058823,0.537575757575758
"retained layer-state dimensions",0.412941176470588,0.537575757575758
"retained layer-state dimensions",0.451764705882353,0.537575757575758
"retained layer-state dimensions",0.490588235294118,0.537575757575758
"retained layer-state dimensions",0.529411764705882,0.537575757575758
"retained layer-state dimensions",0.568235294117647,0.537575757575758
"retained layer-state dimensions",0.607058823529412,0.537575757575758
"retained layer-state dimensions",0.645882352941176,0.537575757575758
"retained layer-state dimensions",0.684705882352941,0.537575757575758
"retained layer-state dimensions",0.723529411764706,0.537575757575758
"retained layer-state dimensions",0.76235294117647,0.537575757575758
"retained layer-state dimensions",0.801176470588235,0.537575757575758
"retained layer-state dimensions",0.84,0.537575757575758
"retained layer-state dimensions",0.18,0.552727272727273
"retained layer-state dimensions",0.218823529411765,0.552727272727273
"retained layer-state dimensions",0.257647058823529,0.552727272727273
"retained layer-state dimensions",0.296470588235294,0.552727272727273
"retained layer-state dimensions",0.335294117647059,0.552727272727273
