"model","condition_label","graph_id","layer","R","R_z","R_z_clip"
"Qwen","Stable positive",7,25,6.74717712402344,3.43898724764036,2.5
"Qwen","Stable positive",7,26,6.21604442596436,3.12665395598134,2.5
"Qwen","Stable positive",7,27,0.551160216331482,-0.204588760815287,-0.204588760815287
"Qwen","Stable positive",8,0,-0.723131418228149,-0.12578144553307,-0.12578144553307
"Qwen","Stable positive",8,1,-0.426763981580734,0.0934865364902404,0.0934865364902404
"Qwen","Stable positive",8,2,-0.319701194763184,0.17269713223192,0.17269713223192
"Qwen","Stable positive",8,3,-0.423154532909393,0.0961569935935395,0.0961569935935395
"Qwen","Stable positive",8,4,-0.437228858470917,0.0857440784665454,0.0857440784665454
"Qwen","Stable positive",8,5,-0.42778491973877,0.0927311935544059,0.0927311935544059
"Qwen","Stable positive",8,6,-0.808170080184937,-0.188697452811597,-0.188697452811597
"Qwen","Stable positive",8,7,-0.80426561832428,-0.185808729668603,-0.185808729668603
"Qwen","Stable positive",8,8,-0.380057126283646,0.128042687542123,0.128042687542123
"Qwen","Stable positive",8,9,-0.224470496177673,0.243153736175074,0.243153736175074
"Qwen","Stable positive",8,10,-0.865582704544067,-0.231174286394585,-0.231174286394585
"Qwen","Stable positive",8,11,-0.19350577890873,0.266063038041329,0.266063038041329
"Qwen","Stable positive",8,12,0.0300858914852142,0.431487738268525,0.431487738268525
"Qwen","Stable positive",8,13,-0.421703159809113,0.0972307945969881,0.0972307945969881
"Qwen","Stable positive",8,14,-0.846418857574463,-0.216995879683095,-0.216995879683095
"Qwen","Stable positive",8,15,-0.911459863185883,-0.265116584881046,-0.265116584881046
"Qwen","Stable positive",8,16,-0.0137821882963181,0.39903186039697,0.39903186039697
"Qwen","Stable positive",8,17,-0.545463979244232,0.00566612933528375,0.00566612933528375
"Qwen","Stable positive",8,18,-0.628085196018219,-0.0554613267687928,-0.0554613267687928
"Qwen","Stable positive",8,19,-0.866919696331024,-0.232163462177268,-0.232163462177268
"Qwen","Stable positive",8,20,1.19550311565399,1.29372377151636,1.29372377151636
"Qwen","Stable positive",8,21,0.377499669790268,0.688522448146821,0.688522448146821
"Qwen","Stable positive",8,22,1.24837350845337,1.33284002689529,1.33284002689529
"Qwen","Stable positive",8,23,2.37434124946594,2.16588928894661,2.16588928894661
"Qwen","Stable positive",8,24,2.75768566131592,2.44950734279595,2.44950734279595
"Qwen","Stable positive",8,25,2.21626830101013,2.04893873320248,2.04893873320248
"Qwen","Stable positive",8,26,2.79802942276001,2.47935574739514,2.47935574739514
"Qwen","Stable positive",8,27,3.12598133087158,2.72199155754275,2.5
"Qwen","Stable positive",9,0,-0.556149482727051,-0.677221697873219,-0.677221697873219
"Qwen","Stable positive",9,1,-0.246162503957748,-0.589217463419618,-0.589217463419618
"Qwen","Stable positive",9,2,-0.37189194560051,-0.624911618393413,-0.624911618393413
"Qwen","Stable positive",9,3,-0.0119149088859558,-0.522715378852278,-0.522715378852278
"Qwen","Stable positive",9,4,-0.126589834690094,-0.555271194894885,-0.555271194894885
"Qwen","Stable positive",9,5,-0.177271693944931,-0.569659599988914,-0.569659599988914
"Qwen","Stable positive",9,6,-0.382402449846268,-0.627895514309111,-0.627895514309111
"Qwen","Stable positive",9,7,-0.367265790700912,-0.623598268968159,-0.623598268968159
"Qwen","Stable positive",9,8,-0.50751256942749,-0.663413845885025,-0.663413845885025
"Qwen","Stable positive",9,9,-0.281183302402496,-0.599159747348188,-0.599159747348188
"Qwen","Stable positive",9,10,-0.423705548048019,-0.639621321477651,-0.639621321477651
"Qwen","Stable positive",9,11,-0.209505200386047,-0.578810581328091,-0.578810581328091
"Qwen","Stable positive",9,12,0.206705361604691,-0.460649837851323,-0.460649837851323
"Qwen","Stable positive",9,13,0.139691472053528,-0.479674850034487,-0.479674850034487
"Qwen","Stable positive",9,14,0.390780508518219,-0.408391538324119,-0.408391538324119
"Qwen","Stable positive",9,15,0.56950455904007,-0.35765239661221,-0.35765239661221
"Qwen","Stable positive",9,16,1.25789475440979,-0.162220793680388,-0.162220793680388
"Qwen","Stable positive",9,17,2.57781863212585,0.212501044174221,0.212501044174221
"Qwen","Stable positive",9,18,1.4225537776947,-0.115474664705563,-0.115474664705563
"Qwen","Stable positive",9,19,1.5748393535614,-0.0722413147897635,-0.0722413147897635
"Qwen","Stable positive",9,20,2.91237759590149,0.307481180448192,0.307481180448192
