"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"llama","g000_closure_override","0","closure_override","closure","0.4834481179714203","0.3332972824573517","0.9404028654098511","1.038232445716858","2.9923300743103027","4.3245086669921875","0.7030542492866516","0.6660891771316528"
"llama","g000_exception_override","0","exception_override","closure","0.49055013060569763","0.3353928327560425","0.9339789152145386","1.0402791500091553","3.0755386352539062","4.236667156219482","0.6994063258171082","0.6647823452949524"
"llama","g001_clean","1","clean","stable","0.48241254687309265","0.34602347016334534","0.9371420741081238","1.0297702550888062","3.1469268798828125","4.245812892913818","0.6969226002693176","0.6633666157722473"
"llama","g001_rename","1","rename","stable","0.5096330642700195","0.34530317783355713","0.9319255352020264","1.0189303159713745","2.797366142272949","4.29912805557251","0.7131366729736328","0.6767148375511169"
"llama","g001_permuted","1","permuted","stable","0.4605132043361664","0.35476168990135193","0.9581761956214905","1.026879072189331","3.2777998447418213","4.008752822875977","0.7079735398292542","0.68729567527771"
"llama","g001_redundant","1","redundant","stable","0.49208155274391174","0.3660939633846283","0.9333575963973999","1.0050092935562134","3.177792549133301","4.102100849151611","0.6970780491828918","0.6696626543998718"
"llama","g001_irrelevant","1","irrelevant","stable","0.48196062445640564","0.3731626570224762","0.9382231831550598","1.0086328983306885","3.2725136280059814","4.099853038787842","0.7002494931221008","0.6735948920249939"
"llama","g001_paraphrase","1","paraphrase","stable","0.4594208300113678","0.3654700517654419","0.9611566066741943","1.036328911781311","3.3106741905212402","4.192744255065918","0.7167656421661377","0.6870997548103333"
"llama","g001_weak_distractor","1","weak_distractor","stable_shift","0.4717501401901245","0.35275471210479736","0.9476761817932129","1.0192179679870605","3.2109944820404053","4.110579967498779","0.6989299654960632","0.6735415458679199"
"llama","g001_competition_balanced","1","competition_balanced","competition","0.46843746304512024","0.362825483083725","0.950556755065918","1.0125641822814941","3.245560646057129","4.06077766418457","0.7026857733726501","0.6799376606941223"
"llama","g001_direct_conflict","1","direct_conflict","competition","0.48633816838264465","0.35962986946105957","0.9395832419395447","1.008103847503662","3.1277709007263184","4.134324550628662","0.6994486451148987","0.6724597811698914"
"llama","g001_closure_update","1","closure_update","closure","0.4997293949127197","0.34004995226860046","0.9278887510299683","1.0330932140350342","2.985593795776367","4.323440074920654","0.7018280625343323","0.6623733639717102"
"llama","g001_closure_override","1","closure_override","closure","0.473407119512558","0.32666292786598206","0.9487192630767822","1.0372002124786377","3.0095133781433105","4.274538993835449","0.6998881697654724","0.6679560542106628"
"llama","g001_exception_override","1","exception_override","closure","0.48040661215782166","0.3305787146091461","0.9383313059806824","1.041744589805603","3.0656495094299316","4.312822341918945","0.6954966187477112","0.6594869494438171"
"llama","g002_clean","2","clean","stable","0.49605169892311096","0.3391190469264984","0.9257550835609436","1.0407174825668335","3.094515323638916","4.277256011962891","0.6952674388885498","0.6569523215293884"
"llama","g002_rename","2","rename","stable","0.5155078768730164","0.3576582968235016","0.9194932579994202","1.0118807554244995","2.974717617034912","4.212488174438477","0.7073974013328552","0.6727123856544495"
"llama","g002_permuted","2","permuted","stable","0.4795950949192047","0.329305499792099","0.9431958198547363","1.0591968297958374","3.021144390106201","4.3348069190979","0.7102319598197937","0.6701692938804626"
"llama","g002_redundant","2","redundant","stable","0.49298742413520813","0.34544017910957336","0.9290343523025513","1.0330286026000977","3.121305465698242","4.247505187988281","0.6970481872558594","0.6610152125358582"
"llama","g002_irrelevant","2","irrelevant","stable","0.4814717769622803","0.35900819301605225","0.9386336207389832","1.023620367050171","3.232666492462158","4.126117706298828","0.7018070220947266","0.6729855537414551"
"llama","g002_paraphrase","2","paraphrase","stable","0.43159016966819763","0.3574645221233368","0.9859731197357178","1.0761100053787231","3.5063297748565674","4.193049430847168","0.7222242951393127","0.6955673098564148"
"llama","g002_weak_distractor","2","weak_distractor","stable_shift","0.49334821105003357","0.35994282364845276","0.930738627910614","1.0171141624450684","3.1536033153533936","4.191974639892578","0.6998569965362549","0.6674519181251526"
"llama","g002_competition_balanced","2","competition_balanced","competition","0.478801965713501","0.3484213352203369","0.9421573877334595","1.0294246673583984","3.1680691242218018","4.17424201965332","0.7022002339363098","0.6722046732902527"
"llama","g002_direct_conflict","2","direct_conflict","competition","0.4941072463989258","0.34171009063720703","0.9311375021934509","1.0318927764892578","3.0878427028656006","4.2190985679626465","0.6982529163360596","0.6641145944595337"
"llama","g002_closure_update","2","closure_update","closure","0.49394741654396057","0.34631213545799255","0.9322235584259033","1.0311776399612427","3.148562431335449","4.121179103851318","0.7004192471504211","0.6700828075408936"
"llama","g002_closure_override","2","closure_override","closure","0.4730023443698883","0.32475802302360535","0.9468123912811279","1.0407743453979492","2.9672789573669434","4.3556013107299805","0.699877917766571","0.6639471650123596"
"llama","g002_exception_override","2","exception_override","closure","0.4778923988342285","0.32896658778190613","0.9400504231452942","1.049203872680664","3.0672645568847656","4.32004451751709","0.69924396276474","0.6623712778091431"
