model,cutoff_layer,n_observed_layers,shuffle_id,permutation,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy
qwen,23,4,5,independent_within_prompt_precurrent,0.4031176661697722,1.8706315505771436,0.6506792204267986,0.6409162892067398,0.7803790412486065,0.6548834716350918,0.20218284813702045,0.8172413793103448
qwen,23,4,6,independent_within_prompt_precurrent,0.4057266829371975,1.8483424474340484,0.6503929079910697,0.6398549674945848,0.7809036658141517,0.6289630503486556,0.1960295238533763,0.8241379310344827
qwen,23,4,7,independent_within_prompt_precurrent,0.410906845851712,1.8563531134947904,0.6541814750427289,0.6447556463323523,0.7823463833694013,0.6539661567390994,0.20032595775431292,0.8206896551724138
qwen,23,4,8,independent_within_prompt_precurrent,0.4241143704488183,1.8421126692207939,0.663665865263461,0.654900691173367,0.7814938684503902,0.6537729191260282,0.20019337716510374,0.8103448275862069
qwen,23,4,9,independent_within_prompt_precurrent,0.41533738610003323,1.8550055478720044,0.6566511296404411,0.6509779339410277,0.7906747983474327,0.6513177716503316,0.19273591949087587,0.8206896551724138
qwen,23,4,10,independent_within_prompt_precurrent,0.39664956603858836,1.8652334840806777,0.6475167956338717,0.6356689709873251,0.7817561807331628,0.6556254734400828,0.19697830797171734,0.8137931034482758
qwen,23,4,11,independent_within_prompt_precurrent,0.4088895845593391,1.8662233710211846,0.6542701640314516,0.643937636435988,0.7793297921175159,0.63832311606561,0.20019348622020544,0.803448275862069
qwen,23,4,12,independent_within_prompt_precurrent,0.405119156488309,1.8623074020337895,0.6519038675449391,0.6430162989737671,0.782608695652174,0.658988661896849,0.19900630459028568,0.8241379310344827
qwen,23,4,13,independent_within_prompt_precurrent,0.4110734865249538,1.8513760601176283,0.6539553803750261,0.6430886282698667,0.7801167289658338,0.648740986069677,0.1948250745840756,0.8137931034482758
qwen,23,4,14,independent_within_prompt_precurrent,0.40131224057227455,1.8810851692925734,0.6501921437930834,0.6387584652064356,0.7771657157846417,0.6336644234529524,0.20182086750226827,0.8
qwen,23,4,15,independent_within_prompt_precurrent,0.4189863330227135,1.840160692965343,0.6621998552484192,0.6471368546893176,0.7758541543707784,0.608347571046007,0.19945232552844272,0.803448275862069
qwen,23,4,16,independent_within_prompt_precurrent,0.41673434669333165,1.8510445535399405,0.6575660044028955,0.647751653706164,0.77900190176405,0.6487010210037794,0.20137555283622438,0.8206896551724138
qwen,23,4,17,independent_within_prompt_precurrent,0.4214555920931575,1.8510783001111095,0.6619385553330351,0.6583533079810593,0.7896911272870352,0.6506639940559887,0.19886774081016328,0.7965517241379311
qwen,23,4,18,independent_within_prompt_precurrent,0.3981550086920691,1.8793301792623245,0.6472107853518381,0.6404011274855408,0.7816906026624697,0.6550103536131365,0.200745652113872,0.8275862068965517
qwen,23,4,19,independent_within_prompt_precurrent,0.41009898908582654,1.8633147799364616,0.6528476256377662,0.6428148102203468,0.7790019017640502,0.6419909047352821,0.20110297565412272,0.8206896551724138
