model,cutoff_layer,n_observed_layers,observed_layers,feature_set,n_train,n_test,n_test_graphs,n_features,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy,r2_ci_low,r2_ci_high,mae_ci_low,mae_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_rho_ci_low,spearman_rho_ci_high,boundary_auroc_ci_low,boundary_auroc_ci_high,boundary_average_precision_ci_low,boundary_average_precision_ci_high,boundary_brier_ci_low,boundary_brier_ci_high,boundary_accuracy_ci_low,boundary_accuracy_ci_high,order_null_r2_mean,order_null_r2_sd,order_null_r2_q95,real_r2_vs_order_null_z,real_r2_exceeds_order_null_q95
gemma,20,3,18;19;20,current_R,670,290,29,1,0.4353359647102788,1.092514596278419,0.7167533861261352,0.655805988839969,0.9329667063020215,0.9819194398060078,0.15306949090589198,0.8620689655172413,0.2419638496385286,0.5962528159933085,0.9264406143503737,1.262575652697042,0.6394553317085592,0.8130706578355399,0.5617882489588222,0.7643450684959979,0.8900226156846919,0.9726934035818252,0.9685083978741593,0.9932602346976552,0.09292659255226499,0.21221638269031717,0.8102586206896552,0.9172413793103448,,,,,False
gemma,20,3,18;19;20,ordered_R_history,670,290,29,7,0.5538720829164888,0.9762625792755882,0.7832113521532849,0.7172547032845593,0.9569708680142688,0.9886702044227087,0.11057933557784694,0.9103448275862069,0.4195578458409811,0.6588022484806615,0.8683049942752135,1.0950838588153886,0.7087677646989795,0.866521194599894,0.6278000146721925,0.8081920100835116,0.9260145279630985,0.9818702637564092,0.9786526125552159,0.9957166512958797,0.07097159832080917,0.15587047676098476,0.8792241379310345,0.9413793103448276,0.5506410544234701,0.0033395248228548194,0.5555677445727536,0.967511446810159,False
gemma,20,3,18;19;20,ordered_R_dR_history,670,290,29,14,0.8168721683008184,0.5791095249873828,0.9116069353992526,0.8294816256694393,0.9938317479191439,0.9985318358173312,0.030358517476940072,0.9793103448275862,0.7152610814695322,0.879381539032747,0.47107469250865563,0.7246548891750354,0.8675739313177421,0.9434378826856439,0.7622114476941213,0.8816971470576038,0.9845062844352617,0.9994289395721997,0.9966489337919837,0.999857830204741,0.013434075252331739,0.051199846036293815,0.9586206896551724,0.996551724137931,,,,,False
gemma,21,4,18;19;20;21,current_R,670,290,29,1,0.22556022661807085,1.2426966822638894,0.5490467094576436,0.5111734272958657,0.8464625445897741,0.9571788011127931,0.21026611453533176,0.8103448275862069,0.0018877003413134516,0.39397142524804496,1.0994270770203134,1.4077812685217517,0.4700670883089463,0.6596602661142527,0.4041930678964665,0.6381046137633967,0.7931539976031501,0.9152470627574362,0.9388524282183166,0.9773630764207193,0.14294554755330252,0.2850288410336411,0.7517241379310344,0.8689655172413793,,,,,False
gemma,21,4,18;19;20;21,ordered_R_history,670,290,29,7,0.7137805890078288,0.7800007287964859,0.8651932669540793,0.8048075708578666,0.9835760998810938,0.9956269213663088,0.06334222722204097,0.9517241379310345,0.652110943519966,0.763473722190967,0.6900885506676201,0.8875972929386583,0.8289890985569809,0.9031293210700687,0.7548740322556396,0.8520090672294576,0.9636111594384918,0.9968617042418787,0.989448947715021,0.9992434873176732,0.03899532641232451,0.09024741763320865,0.9206896551724137,0.9758620689655172,0.6355807501050357,0.007947845854076513,0.6503125713594112,9.839123749825095,True
gemma,21,4,18;19;20;21,ordered_R_dR_history,670,290,29,14,0.7495398554466606,0.6538362973180025,0.8810537112414484,0.7817193432873591,0.989372770511296,0.9975025403728055,0.04208226604468291,0.9655172413793104,0.6180465470849238,0.8490549745913151,0.503484041681059,0.8252594767974586,0.8272934248678634,0.9284643596357601,0.7082200236111131,0.8504073737159816,0.9748423714926915,0.9990479859123926,0.994609627550846,0.9997616115541635,0.020424743033777087,0.07252335377694585,0.9413793103448276,0.9862068965517241,,,,,False
gemma,22,5,18;19;20;21;22,current_R,670,290,29,1,0.3349349744894218,1.1693042784327408,0.6225033052010099,0.6477139892102579,0.8860731272294887,0.9691611549734506,0.17923578492146042,0.8482758620689655,0.17395505693160435,0.45188790895463576,1.0426899275931167,1.307295339530762,0.5702848867597027,0.701351564066488,0.5703284435975502,0.7418018262049163,0.8457941872037154,0.9298650832669114,0.9575703093486844,0.9812663205141483,0.12619670864876664,0.23446814110860661,0.8103448275862069,0.8897413793103448,,,,,False
gemma,22,5,18;19;20;21;22,ordered_R_history,670,290,29,7,0.7322524900219921,0.692549593428868,0.8655988700774395,0.8570973088274928,0.974732461355529,0.9937028067009619,0.08829098492380971,0.903448275862069,0.6534218649812352,0.8002396273158295,0.5889973423830981,0.8130601857924475,0.8369466013703348,0.9025785413495614,0.8043569332424056,0.9055519674372478,0.9611203093535391,0.9880229174061764,0.9899439476762466,0.9971580889611589,0.05803093502813479,0.12200247422046971,0.8689655172413793,0.9379310344827586,0.439264300139268,0.0035268201958818125,0.4448720910706471,83.07432009855216,True
gemma,22,5,18;19;20;21;22,ordered_R_dR_history,670,290,29,14,0.8389324450540646,0.5353044445060877,0.921975761762411,0.86718057213843,0.9924940546967895,0.9983023971928594,0.03389485766585367,0.9689655172413794,0.7417107150667404,0.9124234555799567,0.415329292605675,0.6796896368572015,0.8760196684173124,0.9581688764134378,0.7979478142119201,0.9274092407658383,0.9787339978376993,0.9997101449275362,0.9955674468254504,0.9999269511799203,0.016204699991935904,0.05455306605737937,0.9448275862068966,0.9896551724137931,,,,,False
gemma,23,6,18;19;20;21;22;23,current_R,670,290,29,1,0.060987820400669635,1.370296874937447,0.3205722524930796,0.33505729927319544,0.7158888228299644,0.91927131782348,0.2501618425947028,0.8379310344827586,-0.07722504504439434,0.16630912846910745,1.2537364704449978,1.5027643302996463,0.23639026324357224,0.4300488817537143,0.2300125716193425,0.4892512882000062,0.6771072371256194,0.7916741565265487,0.899576079859917,0.945045299285003,0.1973413505972002,0.3073717634400108,0.803448275862069,0.8724137931034482,,,,,False
