"model","condition_label","condition_short","layer","R_mean","R_sd","n","R_z","R_z_clip"
"Qwen","Balanced competition","Balanced",17,0.337893789841069,1.98431867750245,72,-0.222001924355807,-0.222001924355807
"Qwen","Balanced competition","Balanced",18,0.142506652408176,1.62679247934518,72,-0.352356446660277,-0.352356446660277
"Qwen","Balanced competition","Balanced",19,0.373567394498322,1.46910179504395,72,-0.198201915025245,-0.198201915025245
"Qwen","Balanced competition","Balanced",20,0.448662190801567,1.65341465788855,72,-0.148101655467355,-0.148101655467355
"Qwen","Balanced competition","Balanced",21,1.0186875363191,1.79462249783168,72,0.232196569854147,0.232196569854147
"Qwen","Balanced competition","Balanced",22,0.340735823329952,1.61036485801405,72,-0.220105832715978,-0.220105832715978
"Qwen","Balanced competition","Balanced",23,0.240160030623277,2.09588317313776,72,-0.287205999011085,-0.287205999011085
"Qwen","Balanced competition","Balanced",24,0.809509678019418,2.54791070107437,72,0.0926414274144775,0.0926414274144775
"Qwen","Balanced competition","Balanced",25,2.07757992876901,4.06970619429771,72,0.938647433525009,0.938647433525009
"Qwen","Balanced competition","Balanced",26,2.667110113634,5.12637480343304,72,1.33195851142816,1.33195851142816
"Qwen","Balanced competition","Balanced",27,-1.68824050823847,0.973797591995994,72,-1.57375809429086,-1.57375809429086
"Qwen","Direct negative","Direct-",0,-0.0659768686940273,0.447751823706138,72,-0.491448354954217,-0.491448354954217
"Qwen","Direct negative","Direct-",1,-0.000312632570664088,0.294777884410587,72,-0.447639789841845,-0.447639789841845
"Qwen","Direct negative","Direct-",2,-0.13321626600292,0.299247841928612,72,-0.536307804923136,-0.536307804923136
"Qwen","Direct negative","Direct-",3,-0.116027902811766,0.245127289271415,72,-0.524840413044547,-0.524840413044547
"Qwen","Direct negative","Direct-",4,-0.270255493310591,0.281916027039489,72,-0.627734923654534,-0.627734923654534
"Qwen","Direct negative","Direct-",5,-0.149432320975595,0.591247630666227,72,-0.54712651145315,-0.54712651145315
"Qwen","Direct negative","Direct-",6,-0.0982503551575873,0.846181737696491,72,-0.512979940739909,-0.512979940739909
"Qwen","Direct negative","Direct-",7,0.0276131770677037,0.872440153147003,72,-0.42900880101012,-0.42900880101012
"Qwen","Direct negative","Direct-",8,0.00318717252877023,0.747301487211245,72,-0.445304859160688,-0.445304859160688
"Qwen","Direct negative","Direct-",9,0.251188724819157,0.489284179870388,72,-0.279848093150778,-0.279848093150778
"Qwen","Direct negative","Direct-",10,0.247254848687185,0.779496611715439,72,-0.282472618750189,-0.282472618750189
"Qwen","Direct negative","Direct-",11,0.433688399485416,0.70266115177699,72,-0.158091573123906,-0.158091573123906
"Qwen","Direct negative","Direct-",12,0.569309964362118,0.829896052139395,72,-0.0676102623479648,-0.0676102623479648
"Qwen","Direct negative","Direct-",13,0.388690243578619,0.826932403510181,72,-0.188112551960484,-0.188112551960484
"Qwen","Direct negative","Direct-",14,0.440681769616074,1.08183303579361,72,-0.153425874886767,-0.153425874886767
"Qwen","Direct negative","Direct-",15,0.360288676288393,1.33019511158424,72,-0.207060947363878,-0.207060947363878
"Qwen","Direct negative","Direct-",16,0.328576644054717,1.63496417274751,72,-0.228217953231496,-0.228217953231496
"Qwen","Direct negative","Direct-",17,0.457086854510837,1.87637714276864,72,-0.142481055115529,-0.142481055115529
"Qwen","Direct negative","Direct-",18,0.362165158821477,1.67505424899257,72,-0.205809032895881,-0.205809032895881
"Qwen","Direct negative","Direct-",19,0.555751940442456,1.50243823816883,72,-0.0766556363406469,-0.0766556363406469
"Qwen","Direct negative","Direct-",20,0.937292847368452,1.81394494338284,72,0.177893272637736,0.177893272637736
"Qwen","Direct negative","Direct-",21,1.46021542284224,1.976867569406,72,0.526766404327482,0.526766404327482
"Qwen","Direct negative","Direct-",22,0.693937352961964,1.67319154152717,72,0.0155361715495384,0.0155361715495384
"Qwen","Direct negative","Direct-",23,0.662302393052313,1.97296488227525,72,-0.00556941473072494,-0.00556941473072494
"Qwen","Direct negative","Direct-",24,1.63326715760761,2.56569917546159,72,0.642219634850639,0.642219634850639
"Qwen","Direct negative","Direct-",25,2.60752372443676,4.16219092992918,72,1.29220484390579,1.29220484390579
"Qwen","Direct negative","Direct-",26,3.69804432160325,5.02692215019257,72,2.01975678706093,2.01975678706093
"Qwen","Direct negative","Direct-",27,-1.26822285975019,0.850456999140832,72,-1.29353903459486,-1.29353903459486
"Qwen","Exception negative","Exception-",0,-0.0721699371933937,0.443712181759984,72,-0.495580123792435,-0.495580123792435
"Qwen","Exception negative","Exception-",1,0.00347157547043429,0.306883826167148,72,-0.445115116836348,-0.445115116836348
