model,control,random_seed,closure_n,strict_conflict_to_clean,closure_crossing_rate,nonclosure_n,nonclosure_top1_changes,nonclosure_change_rate,specificity_count,specificity_rate,closure_mean_margin_shift
gemma,random_direction_038,2026083340,87,0,0,203,0,0,0,0,-0.22683189655172417
gemma,random_direction_039,2026083341,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,1.3615301724137931
gemma,random_direction_040,2026083342,87,0,0,203,0,0,0,0,1.0490301724137931
gemma,random_direction_041,2026083343,87,0,0,203,0,0,0,0,0.9994317416487069
gemma,random_direction_042,2026083344,87,0,0,203,0,0,0,0,2.4465472341954024
gemma,random_direction_043,2026083345,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,1.4643319667070762
gemma,random_direction_044,2026083346,87,0,0,203,0,0,0,0,-2.6221264367816093
gemma,random_direction_045,2026083347,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,2.5629040948275863
gemma,random_direction_046,2026083348,87,0,0,203,0,0,0,0,2.21917654454023
gemma,random_direction_047,2026083349,87,0,0,203,0,0,0,0,2.5540620650368173
gemma,random_direction_048,2026083350,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,2.2494612068965516
gemma,random_direction_049,2026083351,87,0,0,203,0,0,0,0,0.587194683908046
gemma,structured_guarded,NA,87,9,0.10344827586206896,203,0,0,9,0.10344827586206896,1.511584051724138
