model,shuffle_id,macro_f1
qwen,175,0.20707918236522357
qwen,176,0.4239393125671321
qwen,177,0.20095693779904308
qwen,178,0.4788509073370712
qwen,179,0.4503204667146168
qwen,180,0.4621917111619629
qwen,181,0.11951447245564893
qwen,182,0.15320712849316967
qwen,183,0.1524632581078432
qwen,184,0.4936851056211958
qwen,185,0.2007017543859649
qwen,186,0.437677304964539
qwen,187,0.21099656357388316
qwen,188,0.20095693779904308
qwen,189,0.17270557345745316
qwen,190,0.30777777777777776
qwen,191,0.20641533527781405
qwen,192,0.1964912280701754
qwen,193,0.16526610644257703
qwen,194,0.36534613845538216
qwen,195,0.45387480952935944
qwen,196,0.1533138617765947
qwen,197,0.3109693425482899
qwen,198,0.20051953592187152
qwen,199,0.3098245614035087
llama,0,0.18160022121374778
llama,1,0.27811773125782785
llama,2,0.37311927650091903
llama,3,0.37311927650091903
llama,4,0.38958018185071325
llama,5,0.25648639095086606
llama,6,0.1930354267310789
llama,7,0.1931944241122985
llama,8,0.2809083263246426
llama,9,0.27811773125782785
llama,10,0.2500626230094829
llama,11,0.38958018185071325
llama,12,0.38958018185071325
llama,13,0.2500626230094829
llama,14,0.38958018185071325
llama,15,0.24347826086956523
llama,16,0.16629921000928916
llama,17,0.37311927650091903
llama,18,0.19883321985929217
llama,19,0.14984580880291562
llama,20,0.27811773125782785
llama,21,0.38958018185071325
llama,22,0.1931944241122985
llama,23,0.2500626230094829
llama,24,0.2500626230094829
llama,25,0.27811773125782785
llama,26,0.18160022121374778
llama,27,0.38958018185071325
llama,28,0.3658615136876006
llama,29,0.24347826086956523
llama,30,0.37311927650091903
llama,31,0.2500626230094829
llama,32,0.3658615136876006
llama,33,0.27811773125782785
llama,34,0.1931944241122985
llama,35,0.37311927650091903
llama,36,0.3658615136876006
llama,37,0.18160022121374778
llama,38,0.16629921000928916
llama,39,0.18160022121374778
llama,40,0.2763274336283186
llama,41,0.27811773125782785
llama,42,0.37311927650091903
llama,43,0.27811773125782785
llama,44,0.37311927650091903
llama,45,0.2500626230094829
llama,46,0.37287397140907713
llama,47,0.38958018185071325
llama,48,0.38958018185071325
llama,49,0.38958018185071325
llama,50,0.24347826086956523
llama,51,0.37311927650091903
llama,52,0.18160022121374778
llama,53,0.16629921000928916
llama,54,0.27811773125782785
