task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.5,105,0.41759259259259257
lexical_category,qwen,0.5,106,0.46419753086419757
lexical_category,qwen,0.5,107,0.4901234567901235
lexical_category,qwen,0.5,108,0.4722222222222222
lexical_category,qwen,0.5,109,0.5052469135802469
lexical_category,qwen,0.5,110,0.46358024691358024
lexical_category,qwen,0.5,111,0.3888888888888889
lexical_category,qwen,0.5,112,0.5493827160493827
lexical_category,qwen,0.5,113,0.4759259259259259
lexical_category,qwen,0.5,114,0.528395061728395
lexical_category,qwen,0.5,115,0.4771604938271605
lexical_category,qwen,0.5,116,0.4901234567901235
lexical_category,qwen,0.5,117,0.46697530864197534
lexical_category,qwen,0.5,118,0.45524691358024694
lexical_category,qwen,0.5,119,0.4978395061728395
lexical_category,qwen,0.5,120,0.5067901234567902
lexical_category,qwen,0.5,121,0.4645061728395061
lexical_category,qwen,0.5,122,0.4537037037037037
lexical_category,qwen,0.5,123,0.5033950617283951
lexical_category,qwen,0.5,124,0.46759259259259256
lexical_category,qwen,0.5,125,0.4527777777777778
lexical_category,qwen,0.5,126,0.5098765432098766
lexical_category,qwen,0.5,127,0.5530864197530865
lexical_category,qwen,0.5,128,0.4777777777777778
lexical_category,qwen,0.5,129,0.5160493827160494
lexical_category,qwen,0.5,130,0.4848765432098766
lexical_category,qwen,0.5,131,0.508641975308642
lexical_category,qwen,0.5,132,0.5632716049382716
lexical_category,qwen,0.5,133,0.5478395061728395
lexical_category,qwen,0.5,134,0.5447530864197531
lexical_category,qwen,0.5,135,0.44907407407407407
lexical_category,qwen,0.5,136,0.45771604938271604
lexical_category,qwen,0.5,137,0.4740740740740741
lexical_category,qwen,0.5,138,0.4864197530864197
lexical_category,qwen,0.5,139,0.5
lexical_category,qwen,0.5,140,0.5302469135802469
lexical_category,qwen,0.5,141,0.4916666666666667
lexical_category,qwen,0.5,142,0.5141975308641975
lexical_category,qwen,0.5,143,0.5691358024691358
lexical_category,qwen,0.5,144,0.44907407407407407
lexical_category,qwen,0.5,145,0.5148148148148148
lexical_category,qwen,0.5,146,0.433641975308642
lexical_category,qwen,0.5,147,0.46419753086419757
lexical_category,qwen,0.5,148,0.4672839506172839
lexical_category,qwen,0.5,149,0.4666666666666667
lexical_category,qwen,0.5,150,0.5024691358024691
lexical_category,qwen,0.5,151,0.5191358024691358
lexical_category,qwen,0.5,152,0.5080246913580246
lexical_category,qwen,0.5,153,0.5425925925925926
lexical_category,qwen,0.5,154,0.5098765432098766
lexical_category,qwen,0.5,155,0.4925925925925926
lexical_category,qwen,0.5,156,0.5135802469135803
lexical_category,qwen,0.5,157,0.5046296296296297
lexical_category,qwen,0.5,158,0.4169753086419753
lexical_category,qwen,0.5,159,0.46975308641975305
lexical_category,qwen,0.5,160,0.4947530864197531
lexical_category,qwen,0.5,161,0.5290123456790123
lexical_category,qwen,0.5,162,0.5296296296296297
lexical_category,qwen,0.5,163,0.49444444444444446
lexical_category,qwen,0.5,164,0.5231481481481481
