analysis,revision,null_index,final_accuracy,final_macro_f1,evidence_first_mean,evidence_final_mean,evidence_progress_mean,native_mean_prompt_spearman,shuffle_mean,shuffle_q95,shuffle_q99,real_minus_shuffle_mean,empirical_p_upper
within_checkpoint,step0,22,0.22641509433962265,0.1819394424436441,56603.77616634259,56603.777942700224,0.0017763576131600393,-0.1283810529093548,-0.04016947413173829,0.039517086686898,0.0534001847209394,-0.08821157877761651,0.98
within_checkpoint,step143000,22,0.16981132075471697,0.12842712842712842,56603.77367438868,56603.77529677786,0.001622389158259158,0.09381184852882965,0.055486918265648964,0.10676870299511808,0.12238026124818575,0.038324930263180686,0.16
final_metric_transfer,step0,22,0.1509433962264151,0.08924381346741594,56603.773212680084,56603.77492014209,0.0017074619891022367,0.09090909090909091,0.017355238624535363,0.08617231824778991,0.09196200026388703,0.07355385228455555,0.03
final_metric_transfer,step143000,22,0.16981132075471697,0.12842712842712842,56603.77367438868,56603.77529677786,0.001622389158259158,0.09381184852882965,0.055486918265648964,0.10676870299511808,0.12238026124818575,0.038324930263180686,0.16
within_checkpoint,step0,23,0.2830188679245283,0.2362914862914863,56603.77987659901,56603.90254339018,0.12266679117529658,0.19092228526190785,0.09327341231286344,0.15541628183137618,0.17530544926771344,0.09764887294904441,0.01
within_checkpoint,step143000,23,0.3584905660377358,0.31912611198325486,56603.773425136475,56603.78426557774,0.010840441278949753,0.32022694286845227,0.05523635883841716,0.2058582926507453,0.26444385802876375,0.2649905840300351,0.01
final_metric_transfer,step0,23,0.1320754716981132,0.03333333333333333,56603.77519679301,56603.77340461922,-0.001792173793232504,-0.012138804591634788,0.0015726602347528598,0.02852619079034173,0.037347935083784145,-0.013711464826387647,0.79
final_metric_transfer,step143000,23,0.3584905660377358,0.31912611198325486,56603.773425136475,56603.78426557774,0.010840441278949753,0.32022694286845227,0.05523635883841716,0.2058582926507453,0.26444385802876375,0.2649905840300351,0.01
within_checkpoint,step0,24,0.32075471698113206,0.26303854875283444,0.00038341230536074447,0.04609363909287554,0.04571022678751481,-0.03166644676078639,0.02907155737344417,0.08387650085763287,0.10253859348198968,-0.06073800413423056,0.96
within_checkpoint,step143000,24,0.2830188679245283,0.2139406487232574,0.0009366283324010545,0.00036179831432223163,-0.0005748300180788226,-0.020847077450851053,0.025778300220838817,0.1083256366275234,0.1481171658530149,-0.046625377671689866,0.78
final_metric_transfer,step0,24,0.20754716981132076,0.12811791383219953,-0.0003118826930090826,-0.0011524207620097907,-0.0008405380690007085,-0.11281171658530151,-0.01780304696256669,0.04161498878480006,0.05242644148304526,-0.09500866962273483,1.0
final_metric_transfer,step143000,24,0.2830188679245283,0.2139406487232574,0.0009366283324010545,0.00036179831432223163,-0.0005748300180788226,-0.020847077450851053,0.025778300220838817,0.1083256366275234,0.1481171658530149,-0.046625377671689866,0.78
within_checkpoint,step0,25,0.0,0.0,-0.0033010447213837227,-0.04690885988822711,-0.04360781516684338,-0.40005277741126793,-0.1294499287638224,0.01585961208602716,0.03358490566037707,-0.27060284864744555,1.0
within_checkpoint,step143000,25,0.0,0.0,-0.00033582527128674355,-0.001264568977268674,-0.0009287437059819305,-0.14342261512072835,-0.01581323193673108,0.06681620266525923,0.08282886924396349,-0.12760938318399728,0.99
final_metric_transfer,step0,25,0.1320754716981132,0.11149287301127349,-0.001077421155514,0.0004250845955490544,0.001502505751063054,0.13854070457844042,0.04061195141812638,0.11929014381844566,0.1403351365615516,0.09792875316031405,0.03
final_metric_transfer,step143000,25,0.0,0.0,-0.00033582527128674355,-0.001264568977268674,-0.0009287437059819305,-0.14342261512072835,-0.01581323193673108,0.06681620266525923,0.08282886924396349,-0.12760938318399728,0.99
within_checkpoint,step0,26,0.05660377358490566,0.05042016806722689,-31446.54364277793,-31446.589721695153,-0.046078917221028595,-0.2718036680300831,-0.08274325255457331,0.020913049214936006,0.0522707481198047,-0.18906041547550978,1.0
within_checkpoint,step143000,26,0.018867924528301886,0.01680672268907563,-31446.540713551658,-31446.542281349954,-0.0015677983017868167,-0.24950521176936277,-0.02279557682645161,0.10127985222324844,0.14490302150679507,-0.22670963494291116,1.0
final_metric_transfer,step0,26,0.22641509433962265,0.19258224612915686,-31446.539637087444,-31446.5382652771,0.0013718103433592252,0.05488850771869641,0.03093742544857468,0.07417865153714209,0.08500857632933106,0.023951082270121733,0.2
