task,representation,null_index,future_alignment,leave_one_out_alignment
relation_graph,direction_only,148,-0.1639445424079895,-0.26044565439224243
relation_graph,direction_only,149,-0.16469727456569672,-0.2621811628341675
relation_graph,direction_only,150,-0.1640883833169937,-0.2617027163505554
relation_graph,direction_only,151,-0.1636909395456314,-0.2599688172340393
relation_graph,direction_only,152,-0.1643967479467392,-0.26257002353668213
relation_graph,direction_only,153,-0.16560202836990356,-0.2639066278934479
relation_graph,direction_only,154,-0.16485776007175446,-0.2640080451965332
relation_graph,direction_only,155,-0.16519702970981598,-0.2636595666408539
relation_graph,direction_only,156,-0.16412578523159027,-0.2606065273284912
relation_graph,direction_only,157,-0.1647164225578308,-0.2625405192375183
relation_graph,direction_only,158,-0.16282227635383606,-0.2587012052536011
relation_graph,direction_only,159,-0.16590151190757751,-0.26471400260925293
relation_graph,direction_only,160,-0.16391371190547943,-0.2614782154560089
relation_graph,direction_only,161,-0.16500066220760345,-0.2631351053714752
relation_graph,direction_only,162,-0.16516564786434174,-0.2635136544704437
relation_graph,direction_only,163,-0.16471074521541595,-0.26282045245170593
relation_graph,direction_only,164,-0.16293391585350037,-0.2589067816734314
relation_graph,direction_only,165,-0.16356191039085388,-0.25990021228790283
relation_graph,direction_only,166,-0.16374625265598297,-0.26092851161956787
relation_graph,direction_only,167,-0.1631300449371338,-0.25939199328422546
relation_graph,direction_only,168,-0.16469982266426086,-0.2617216110229492
relation_graph,direction_only,169,-0.16564814746379852,-0.2646161913871765
relation_graph,direction_only,170,-0.16423211991786957,-0.26191446185112
relation_graph,direction_only,171,-0.1644769310951233,-0.2627128064632416
relation_graph,direction_only,172,-0.16240990161895752,-0.2580070197582245
relation_graph,direction_only,173,-0.16373838484287262,-0.2602795660495758
relation_graph,direction_only,174,-0.16304157674312592,-0.25930628180503845
relation_graph,direction_only,175,-0.16494597494602203,-0.26279300451278687
relation_graph,direction_only,176,-0.16357067227363586,-0.260870099067688
relation_graph,direction_only,177,-0.1639297604560852,-0.2611096203327179
relation_graph,direction_only,178,-0.16539667546749115,-0.263843297958374
relation_graph,direction_only,179,-0.16425445675849915,-0.26151180267333984
relation_graph,direction_only,180,-0.1633511781692505,-0.2600681483745575
relation_graph,direction_only,181,-0.1641147881746292,-0.26169753074645996
relation_graph,direction_only,182,-0.16339853405952454,-0.2599199712276459
relation_graph,direction_only,183,-0.16464589536190033,-0.2620319128036499
relation_graph,direction_only,184,-0.16402596235275269,-0.261186420917511
relation_graph,direction_only,185,-0.16410043835639954,-0.2619873881340027
relation_graph,direction_only,186,-0.16346925497055054,-0.2606483995914459
relation_graph,direction_only,187,-0.1637415736913681,-0.2611890733242035
relation_graph,direction_only,188,-0.16292797029018402,-0.25953176617622375
relation_graph,direction_only,189,-0.163494274020195,-0.26034584641456604
relation_graph,direction_only,190,-0.16403140127658844,-0.26238372921943665
relation_graph,direction_only,191,-0.16491007804870605,-0.26239532232284546
relation_graph,direction_only,192,-0.16473904252052307,-0.26248905062675476
relation_graph,direction_only,193,-0.16487067937850952,-0.2621210813522339
relation_graph,direction_only,194,-0.16408465802669525,-0.2611011266708374
relation_graph,direction_only,195,-0.16337698698043823,-0.2608978748321533
relation_graph,direction_only,196,-0.16459187865257263,-0.2623625099658966
relation_graph,direction_only,197,-0.1638779640197754,-0.26126018166542053
relation_graph,direction_only,198,-0.16401825845241547,-0.2615549862384796
relation_graph,norm_only_fixed_direction,0,0.9553449153900146,0.9594637751579285
relation_graph,norm_only_fixed_direction,1,0.9547687768936157,0.9590638875961304
relation_graph,norm_only_fixed_direction,2,0.9547781348228455,0.959048330783844
relation_graph,norm_only_fixed_direction,3,0.9549582600593567,0.9591907262802124
relation_graph,norm_only_fixed_direction,4,0.9561673998832703,0.9600850939750671
relation_graph,norm_only_fixed_direction,5,0.9548729658126831,0.9590978026390076
relation_graph,norm_only_fixed_direction,6,0.9548603296279907,0.9590540528297424
relation_graph,norm_only_fixed_direction,7,0.9547060132026672,0.9589584469795227
relation_graph,norm_only_fixed_direction,8,0.9554208517074585,0.959557056427002
relation_graph,norm_only_fixed_direction,9,0.9542613625526428,0.9586169719696045
relation_graph,norm_only_fixed_direction,10,0.9541254043579102,0.9585166573524475
relation_graph,norm_only_fixed_direction,11,0.954687237739563,0.9590186476707458
relation_graph,norm_only_fixed_direction,12,0.9541985988616943,0.9586015939712524
relation_graph,norm_only_fixed_direction,13,0.9546969532966614,0.9590147733688354
