null_index,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
160,-0.01822966264528041,-0.02147123871060337,arc_challenge,qwen,1802
161,0.004418759592450642,-0.02430983969737131,arc_challenge,qwen,1802
162,-0.006434032091066397,-0.03692349023851911,arc_challenge,qwen,1802
163,0.007904400829613446,-0.01694341002632826,arc_challenge,qwen,1802
164,0.007233131706633223,-0.02312166865845509,arc_challenge,qwen,1802
165,-0.018207003719549534,-0.03211217100836474,arc_challenge,qwen,1802
166,-0.008418678120788635,-0.02374864918403224,arc_challenge,qwen,1802
167,-0.0010681987596104744,-0.034294568695675154,arc_challenge,qwen,1802
168,-0.017188106130676856,-0.05047243444427057,arc_challenge,qwen,1802
169,0.01880481736321178,-0.009776921065020485,arc_challenge,qwen,1802
170,-0.007058579501601633,-0.029967025530482503,arc_challenge,qwen,1802
171,0.00015588996458565566,-0.0027679188429776233,arc_challenge,qwen,1802
172,-0.0063733125321819885,-0.038873666400495666,arc_challenge,qwen,1802
173,-0.019601368395838595,-0.024783718344478338,arc_challenge,qwen,1802
174,-0.03246833132427251,-0.04583085119064466,arc_challenge,qwen,1802
175,-0.017081706602232728,-0.038540350792548694,arc_challenge,qwen,1802
176,-7.509697884135176e-05,-0.02758791648208334,arc_challenge,qwen,1802
177,-0.015658996243465496,-0.024661789913451502,arc_challenge,qwen,1802
178,-0.010417007766226246,-0.030702478779045934,arc_challenge,qwen,1802
179,-0.02044300401122743,-0.05051368637122514,arc_challenge,qwen,1802
180,0.013609640545355938,-0.03550469349632361,arc_challenge,qwen,1802
181,-0.014961900569384439,-0.015844227141372104,arc_challenge,qwen,1802
182,0.0011474066404175563,-0.03883204977306578,arc_challenge,qwen,1802
183,0.0114089525538937,-0.02482315777518676,arc_challenge,qwen,1802
184,0.03125753662689985,-0.04679151890942962,arc_challenge,qwen,1802
185,0.0019238342386470224,-0.017658811730551716,arc_challenge,qwen,1802
186,0.01855250029991935,-0.014451848107180018,arc_challenge,qwen,1802
187,0.0008773766983904694,-0.03230915795070451,arc_challenge,qwen,1802
188,-0.004143172715963059,-0.023782925502216806,arc_challenge,qwen,1802
189,0.0196185525684369,-0.0409091650110379,arc_challenge,qwen,1802
190,-0.0012830163564048183,-0.030054108348715247,arc_challenge,qwen,1802
191,0.028777323746152987,-0.03528903089190339,arc_challenge,qwen,1802
192,-0.003112766922991493,0.003944052633999865,arc_challenge,qwen,1802
193,0.004352891445563987,-0.027939356516819357,arc_challenge,qwen,1802
194,0.018931484228558376,-0.01547748926991041,arc_challenge,qwen,1802
195,-0.0097515867811467,-0.022660408343886423,arc_challenge,qwen,1802
196,-0.008426288108657847,-0.02603600647783608,arc_challenge,qwen,1802
197,-0.017011163920601684,-0.04032548214129122,arc_challenge,qwen,1802
198,0.011324897158966177,-0.01583895601761071,arc_challenge,qwen,1802
0,0.9735864188815178,0.9524653750494284,lexical_category,llama,1801
1,0.9735637225183708,0.9520011183466688,lexical_category,llama,1801
2,0.9736288820930716,0.9537831418948438,lexical_category,llama,1801
3,0.9743494187146037,0.9538421630516736,lexical_category,llama,1801
4,0.9741251352440486,0.9545490371414314,lexical_category,llama,1801
5,0.9743957009939269,0.9518124991124385,lexical_category,llama,1801
6,0.9737607380487366,0.9542435038928043,lexical_category,llama,1801
7,0.9745040068745372,0.9538901777709597,lexical_category,llama,1801
8,0.9739922537850597,0.9534076108849999,lexical_category,llama,1801
9,0.9736797686246942,0.9525866075082495,lexical_category,llama,1801
10,0.9745746511517498,0.9530165907139865,lexical_category,llama,1801
11,0.9745034325070886,0.9529829380814107,lexical_category,llama,1801
12,0.9735983796654222,0.9537595608563806,lexical_category,llama,1801
13,0.9739552881539194,0.9522055101791073,lexical_category,llama,1801
14,0.9741950710146764,0.9526600403067043,lexical_category,llama,1801
15,0.9740381355614663,0.9519117916059153,lexical_category,llama,1801
16,0.9739107648490843,0.9552300924603702,lexical_category,llama,1801
17,0.9740482071570301,0.9533236197307284,lexical_category,llama,1801
18,0.9752459273461956,0.9559458541392459,lexical_category,llama,1801
19,0.9751779804969306,0.9525261486390864,lexical_category,llama,1801
20,0.9742188048604818,0.9527705171109447,lexical_category,llama,1801
21,0.9729883817533075,0.9528733089438608,lexical_category,llama,1801
22,0.9739776954449343,0.9523460021838112,lexical_category,llama,1801
23,0.9737526528024578,0.9529080485616145,lexical_category,llama,1801
24,0.9742297638182394,0.9541651527886801,lexical_category,llama,1801
25,0.974350426348097,0.9534563878469948,lexical_category,llama,1801
26,0.9750319795143675,0.9542656243491329,lexical_category,llama,1801
27,0.9738466002790612,0.9540319810002219,lexical_category,llama,1801
28,0.9748862691991192,0.9529611309657793,lexical_category,llama,1801
29,0.9744839364897476,0.953071912127497,lexical_category,llama,1801
30,0.9746968277159364,0.9535975206765032,lexical_category,llama,1801
31,0.973960684372276,0.9536999140434504,lexical_category,llama,1801
32,0.9750676356445284,0.9526790510522003,lexical_category,llama,1801
33,0.9749198957568183,0.9537386191516805,lexical_category,llama,1801
34,0.9738751704227289,0.95338336068596,lexical_category,llama,1801
35,0.973570442492538,0.9539312107554467,lexical_category,llama,1801
36,0.9748374560794362,0.954980430948117,lexical_category,llama,1801
37,0.9745293653354852,0.9536221176102734,lexical_category,llama,1801
38,0.9745115350878023,0.9526998129398628,lexical_category,llama,1801
39,0.9734840647687288,0.9527862797037944,lexical_category,llama,1801
40,0.9748502216080044,0.9542491059705539,lexical_category,llama,1801
41,0.9737325168521654,0.952944431084844,lexical_category,llama,1801
42,0.973430180719423,0.9532729246304791,lexical_category,llama,1801
43,0.9729123783803255,0.9534544560916081,lexical_category,llama,1801
44,0.9747396695889256,0.9539194633373244,lexical_category,llama,1801
45,0.9740383202574895,0.9530338233844624,lexical_category,llama,1801
46,0.9743602041369437,0.9529300910385028,lexical_category,llama,1801
47,0.9725994924551149,0.9526809057661756,lexical_category,llama,1801
48,0.9738721079182799,0.9524949514853057,lexical_category,llama,1801
49,0.9745215101510749,0.9525264379023639,lexical_category,llama,1801
