null_type,null_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
contiguous_block_donor_k4,48,-0.04909725487232208,-0.014246170409023762,-0.20499901473522186,-0.02684592641890049,-0.022244609892368317,0.9570547315676146,0.935646634931907,lexical_category,qwen,1801
independent_layer_donor,49,-0.04768325760960579,-0.013914371840655804,-0.20112918317317963,-0.02336215414106846,-0.020238108932971954,0.97344866976174,0.9593700414601433,lexical_category,qwen,1801
lag1_matched_markov_donor,49,-0.04670564457774162,-0.013322713784873486,-0.20033006370067596,-0.0276015792042017,-0.020229464396834373,0.9750342171563771,0.9588272711681254,lexical_category,qwen,1801
contiguous_block_donor_k4,49,-0.048343151807785034,-0.01399256195873022,-0.20410126447677612,-0.02680959552526474,-0.02214875817298889,0.9568363231203874,0.9374941570343742,lexical_category,qwen,1801
independent_layer_donor,50,-0.04675474762916565,-0.01313555147498846,-0.20019496977329254,-0.023372210562229156,-0.020410051569342613,0.9731557370890724,0.9569344806853464,lexical_category,qwen,1801
lag1_matched_markov_donor,50,-0.04793092608451843,-0.01310927513986826,-0.20147119462490082,-0.0276015792042017,-0.020077375695109367,0.9731905427896453,0.9599193918135882,lexical_category,qwen,1801
contiguous_block_donor_k4,50,-0.0479121096432209,-0.014020659029483795,-0.20368142426013947,-0.0267679113894701,-0.022253310307860374,0.956363420641054,0.9390364259035608,lexical_category,qwen,1801
independent_layer_donor,51,-0.046287644654512405,-0.013558804988861084,-0.19960129261016846,-0.02339957095682621,-0.02035733126103878,0.9740984835125623,0.9593544999254748,lexical_category,qwen,1801
lag1_matched_markov_donor,51,-0.04692181944847107,-0.0132962791249156,-0.20028726756572723,-0.0276015792042017,-0.020016459748148918,0.9736353262616153,0.9598575348677272,lexical_category,qwen,1801
contiguous_block_donor_k4,51,-0.04940667748451233,-0.01397059764713049,-0.2052728533744812,-0.02680934965610504,-0.022243866696953773,0.9558106278963139,0.9344035147099389,lexical_category,qwen,1801
independent_layer_donor,52,-0.04713330790400505,-0.013775148428976536,-0.20059436559677124,-0.023487960919737816,-0.020201103761792183,0.972428203263365,0.9595229839471244,lexical_category,qwen,1801
lag1_matched_markov_donor,52,-0.048534225672483444,-0.013865659944713116,-0.2020157426595688,-0.0276015792042017,-0.01986977458000183,0.9730706143452275,0.9600762732178256,lexical_category,qwen,1801
contiguous_block_donor_k4,52,-0.04968808963894844,-0.014438963495194912,-0.20536808669567108,-0.026754625141620636,-0.022123590111732483,0.9581538155941219,0.9383771594923278,lexical_category,qwen,1801
independent_layer_donor,53,-0.04785791039466858,-0.013686169870197773,-0.20134206116199493,-0.023366324603557587,-0.020379623398184776,0.9741794255517845,0.9580368620073478,lexical_category,qwen,1801
lag1_matched_markov_donor,53,-0.047223854809999466,-0.014078497886657715,-0.20076487958431244,-0.0276015792042017,-0.020083801820874214,0.9742280179460098,0.9597841824941588,lexical_category,qwen,1801
contiguous_block_donor_k4,53,-0.048098739236593246,-0.013535435311496258,-0.20374737679958344,-0.02672705054283142,-0.022174881771206856,0.9570991425484844,0.9374521324318077,lexical_category,qwen,1801
independent_layer_donor,54,-0.046962738037109375,-0.01395650114864111,-0.2003774642944336,-0.023505987599492073,-0.02027823217213154,0.9742280377343979,0.9592024479985765,lexical_category,qwen,1801
lag1_matched_markov_donor,54,-0.04727308079600334,-0.012641996145248413,-0.2006726711988449,-0.0276015792042017,-0.01995169185101986,0.9731588696906263,0.9586053068420887,lexical_category,qwen,1801
contiguous_block_donor_k4,54,-0.04936652258038521,-0.01400324422866106,-0.20500297844409943,-0.026743881404399872,-0.022196585312485695,0.9556239284893345,0.9356212338036193,lexical_category,qwen,1801
independent_layer_donor,55,-0.04724825918674469,-0.013563142158091068,-0.2006627917289734,-0.023386778309941292,-0.02046751044690609,0.9734497883495936,0.9575171373354973,lexical_category,qwen,1801
lag1_matched_markov_donor,55,-0.04671625792980194,-0.013647775165736675,-0.2001812905073166,-0.0276015792042017,-0.019965646788477898,0.973754468513768,0.9602874200108065,lexical_category,qwen,1801
contiguous_block_donor_k4,55,-0.04962565377354622,-0.014264020137488842,-0.20532257854938507,-0.02677932381629944,-0.022169204428792,0.9589494135508899,0.9375076027366149,lexical_category,qwen,1801
independent_layer_donor,56,-0.0472119003534317,-0.014099757187068462,-0.20065180957317352,-0.023309821262955666,-0.020454220473766327,0.9740299457365404,0.958254789584543,lexical_category,qwen,1801
lag1_matched_markov_donor,56,-0.046872567385435104,-0.013317226432263851,-0.2002902776002884,-0.0276015792042017,-0.02008887194097042,0.9742996363511298,0.9592825607643122,lexical_category,qwen,1801
